year,month,day,time_of_day,week,rainfall
2020,4,25,Morning,16,0.10000000100000002
2020,4,25,Night,16,0.4810000060000002
2020,4,26,Afternoon,16,9.437000007999986
2020,4,26,Evening,16,42.43700000200002
2020,4,26,Morning,16,2.4350000009999992
2020,4,26,Night,16,0.5540000000000002
2020,4,27,Afternoon,17,0.025
2020,4,27,Evening,17,0.0
2020,4,27,Morning,17,0.0
2020,4,27,Night,17,0.0
2020,4,28,Afternoon,17,0.0
2020,4,28,Evening,17,0.0
2020,4,28,Morning,17,7.397999999999978
2020,4,28,Night,17,0.3280000000000001
2020,4,29,Afternoon,17,0.03500000000000001
2020,4,29,Evening,17,13.736000015999988
2020,4,29,Morning,17,0.0
2020,4,29,Night,17,0.0
2020,4,30,Afternoon,17,21.136000057
2020,4,30,Evening,17,25.99900001600001
2020,4,30,Morning,17,294.2150000120001
2020,4,30,Night,17,141.546999977001
2020,5,1,Afternoon,17,0.0
2020,5,1,Evening,17,0.0
2020,5,1,Morning,17,0.4049999980000003
2020,5,1,Night,17,90.17700013600069
2020,5,2,Afternoon,17,39.6980000090001
2020,5,2,Evening,17,0.10200000000000005
2020,5,2,Morning,17,0.23400000200000007
2020,5,2,Night,17,0.008
2020,5,3,Afternoon,17,0.0
2020,5,3,Evening,17,0.0
2020,5,3,Morning,17,0.10500000000000001
2020,5,3,Night,17,0.11500000000000003
2020,5,4,Afternoon,18,0.0
2020,5,4,Evening,18,0.0
2020,5,4,Morning,18,0.0
2020,5,4,Night,18,0.0
2020,5,5,Afternoon,18,0.0
2020,5,5,Evening,18,0.0
2020,5,5,Morning,18,0.0
2020,5,5,Night,18,0.10500000200000004
2020,5,6,Afternoon,18,0.0
2020,5,6,Evening,18,0.14
2020,5,6,Morning,18,0.0
2020,5,6,Night,18,0.0
2020,5,7,Afternoon,18,42.54200001100004
2020,5,7,Evening,18,0.0
2020,5,7,Morning,18,0.0
2020,5,7,Night,18,0.0
2020,5,8,Afternoon,18,0.0
2020,5,8,Evening,18,1.6980000099999997
2020,5,8,Morning,18,0.0
2020,5,8,Night,18,0.0
2020,5,9,Afternoon,18,2.273000000999999
2020,5,9,Evening,18,0.0
2020,5,9,Morning,18,9.606999999000001
2020,5,9,Night,18,0.8870000000000005
2020,5,10,Afternoon,18,2.3850000039999943
2020,5,10,Evening,18,1.2340000029999993
2020,5,10,Morning,18,1.0360000010000003
2020,5,10,Night,18,0.12300000100000001
2020,5,11,Afternoon,19,0.5100000010000001
2020,5,11,Evening,19,0.0
2020,5,11,Morning,19,143.7410000820005
2020,5,11,Night,19,133.8180001750002
2020,5,12,Afternoon,19,0.0
2020,5,12,Evening,19,0.41500000400000014
2020,5,12,Morning,19,0.0
2020,5,12,Night,19,0.5150000030000003
2020,5,13,Afternoon,19,6.107000000999999
2020,5,13,Evening,19,0.45400000100000026
2020,5,13,Morning,19,0.16299999900000003
2020,5,13,Night,19,0.6190000050000004
2020,5,14,Afternoon,19,72.82199997800014
2020,5,14,Evening,19,41.315000065000056
2020,5,14,Morning,19,0.07400000000000001
2020,5,14,Night,19,4.2669999999999995
2020,5,15,Afternoon,19,25.70999999499999
2020,5,15,Evening,19,0.0
2020,5,15,Morning,19,137.52100003200036
2020,5,15,Night,19,22.50500001900007
2020,5,16,Afternoon,19,0.0
2020,5,16,Evening,19,0.0
2020,5,16,Morning,19,0.09
2020,5,16,Night,19,0.2000000000000001
2020,5,17,Afternoon,19,0.084
2020,5,17,Evening,19,10.872000004999995
2020,5,17,Morning,19,0.0
2020,5,17,Night,19,0.2550000000000001
2020,5,18,Afternoon,20,82.04100000300016
2020,5,18,Evening,20,12.799000022999973
2020,5,18,Morning,20,5.931999987999996
2020,5,18,Night,20,378.0060001099992
2020,5,19,Afternoon,20,0.0
2020,5,19,Evening,20,0.0
2020,5,19,Morning,20,0.0
2020,5,19,Night,20,0.0
2020,5,20,Afternoon,20,0.0
2020,5,20,Evening,20,0.04000000000000001
2020,5,20,Morning,20,0.0
2020,5,20,Night,20,0.2710000030000001
2020,5,21,Afternoon,20,0.034999999999999996
2020,5,21,Evening,20,1.1160000059999997
2020,5,21,Morning,20,0.0
2020,5,21,Night,20,0.7760000070000005
2020,5,22,Afternoon,20,0.3810000010000001
2020,5,22,Evening,20,1.4870000109999968
2020,5,22,Morning,20,0.103
2020,5,22,Night,20,0.5110000010000003
2020,5,23,Afternoon,20,0.5920000000000004
2020,5,23,Evening,20,2.2370000049999894
2020,5,23,Morning,20,0.8490000060000005
2020,5,23,Night,20,2.5190000159999806
2020,5,24,Afternoon,20,0.24700000000000003
2020,5,24,Evening,20,10.980000002
2020,5,24,Morning,20,0.006
2020,5,24,Night,20,0.8340000000000005
2020,5,25,Afternoon,21,0.40200000100000005
2020,5,25,Evening,21,1.7300000049999946
2020,5,25,Morning,21,0.21500000000000014
2020,5,25,Night,21,50.719000006000094
2020,5,26,Afternoon,21,0.15200000000000008
2020,5,26,Evening,21,1.4100000019999954
2020,5,26,Morning,21,0.4830000010000003
2020,5,26,Night,21,1.7460000069999886
2020,5,27,Afternoon,21,0.28900001000000003
2020,5,27,Evening,21,0.8390000000000006
2020,5,27,Morning,21,0.5970000010000004
2020,5,27,Night,21,1.7219999999999895
2020,5,28,Afternoon,21,315.29600006599935
2020,5,28,Evening,21,0.7470000000000006
2020,5,28,Morning,21,0.685000001
2020,5,28,Night,21,1.4190000029999936
2020,5,29,Afternoon,21,68.34100001400016
2020,5,29,Evening,21,0.0
2020,5,29,Morning,21,103.28700008200003
2020,5,29,Night,21,0.9900000020000006
2020,5,30,Afternoon,21,0.716
2020,5,30,Evening,21,0.047
2020,5,30,Morning,21,5.884999998999999
2020,5,30,Night,21,0.14300000000000007
